timestamp,172.17.16.11:10080
1640667492,0
1640667507,4
1640667522,4
1640667537,4
1640667552,4
1640667567,4
1640667582,4
1640667597,4
1640667612,4
1640667627,4
1640667642,4
1640667657,4
1640667672,4
1640667687,4
1640667702,4
1640667717,4
1640667732,4
1640667747,4
1640667762,4
1640667777,4
1640667792,4
1640667807,4
1640667822,4
1640667837,4
1640667852,4
1640667867,4
1640667882,4
1640667897,4
1640667912,4
1640667927,4
1640667942,4
1640667957,4
1640667972,4
1640667987,4
1640668002,4
1640668017,4
1640668032,4
1640668047,4
1640668062,4
1640668077,4
1640668092,4
1640668107,4
1640668122,4
1640668137,4
1640668152,4
1640668167,4
1640668182,4
1640668197,4
1640668212,4
1640668227,4
1640668242,4
1640668257,4
1640668272,4
1640668287,4
1640668302,4
1640668317,4
1640668332,4
1640668347,4
1640668362,4
1640668377,4
1640668392,4
1640668407,4
1640668422,4
1640668437,4
1640668452,4
1640668467,4
1640668482,4
1640668497,4
1640668512,4
1640668527,4
1640668542,4
1640668557,4
1640668572,4
1640668587,4
1640668602,4
1640668617,4
1640668632,4
1640668647,4
1640668662,4
1640668677,4
1640668692,4
1640668707,4
1640668722,4
1640668737,4
1640668752,4
1640668767,4
1640668782,4
1640668797,4
1640668812,4
1640668827,4
1640668842,4
1640668857,4
1640668872,4
1640668887,4
1640668902,4
1640668917,4
1640668932,4
1640668947,4
1640668962,4
1640668977,4
1640668992,4
1640669007,4
1640669022,4
1640669037,4
1640669052,4
1640669067,4
1640669082,4
1640669097,4
1640669112,4
1640669127,4
1640669142,4
1640669157,4
1640669172,4
1640669187,4
1640669202,4
1640669217,4
1640669232,4
1640669247,4
1640669262,4
1640669277,4
1640669292,4
1640669307,4
1640669322,4
1640669337,4
1640669352,4
1640669367,4
1640669382,4
1640669397,4
1640669412,4
1640669427,4
1640669442,4
1640669457,4
1640669472,4
1640669487,4
1640669502,4
1640669517,4
1640669532,4
1640669547,4
1640669562,4
1640669577,4
1640669592,4
1640669607,4
1640669622,4
1640669637,4
1640669652,4
1640669667,4
1640669682,4
1640669697,4
1640669712,4
1640669727,4
1640669742,4
1640669757,4
1640669772,4
1640669787,4
1640669802,4
1640669817,4
1640669832,4
1640669847,4
1640669862,4
1640669877,4
1640669892,4
1640669907,4
1640669922,4
1640669937,4
1640669952,4
1640669967,4
1640669982,4
1640669997,4
1640670012,4
1640670027,4
1640670042,4
1640670057,4
1640670072,4
1640670087,4
1640670102,4
1640670117,4
1640670132,4
1640670147,4
1640670162,4
1640670177,4
1640670192,4
1640670207,4
1640670222,4
1640670237,4
1640670252,4
1640670267,4
1640670282,4
1640670297,4
1640670312,4
1640670327,4
1640670342,4
1640670357,4
1640670372,4
1640670387,4
1640670402,4
1640670417,4
1640670432,4
1640670447,4
1640670462,4
1640670477,4
1640670492,4
1640670507,4
1640670522,4
1640670537,4
1640670552,4
1640670567,4
1640670582,4
1640670597,4
1640670612,4
1640670627,4
1640670642,4
1640670657,4
1640670672,4
1640670687,4
1640670702,4
1640670717,4
1640670732,4
1640670747,4
1640670762,4
1640670777,4
1640670792,4
1640670807,4
1640670822,4
1640670837,4
1640670852,4
1640670867,4
1640670882,4
1640670897,4
1640670912,4
1640670927,4
1640670942,4
1640670957,4
1640670972,4
1640670987,4
1640671002,4
1640671017,4
1640671032,4
1640671047,4
1640671062,4
1640671077,4
1640671092,4
1640671107,4
1640671122,4
1640671137,4
1640671152,4
1640671167,4
1640671182,4
1640671197,4
1640671212,4
1640671227,4
1640671242,4
1640671257,4
1640671272,4
1640671287,4
1640671302,4
1640671317,4
1640671332,4
1640671347,4
1640671362,4
1640671377,4
1640671392,4
1640671407,4
1640671422,4
1640671437,4
1640671452,4
1640671467,4
1640671482,4
1640671497,4
1640671512,4
1640671527,4
1640671542,4
1640671557,4
1640671572,4
1640671587,4
1640671602,4
1640671617,4
1640671632,4
1640671647,4
1640671662,4
1640671677,4
1640671692,4
1640671707,4
1640671722,4
1640671737,4
1640671752,4
1640671767,4
1640671782,4
1640671797,4
1640671812,4
1640671827,4
1640671842,4
1640671857,4
1640671872,4
1640671887,4
1640671902,4
1640671917,4
1640671932,4
1640671947,4
1640671962,4
1640671977,4
1640671992,4
1640672007,4
1640672022,4
1640672037,4
1640672052,4
1640672067,4
1640672082,4
1640672097,4
1640672112,4
1640672127,4
1640672142,4
1640672157,4
1640672172,4
1640672187,4
1640672202,4
1640672217,4
1640672232,4
1640672247,4
1640672262,4
1640672277,4
1640672292,4
1640672307,4
1640672322,4
1640672337,4
1640672352,4
1640672367,4
1640672382,4
1640672397,4
1640672412,4
1640672427,4
1640672442,4
1640672457,4
1640672472,4
1640672487,4
1640672502,4
1640672517,4
1640672532,4
1640672547,4
1640672562,4
1640672577,4
1640672592,4
1640672607,4
1640672622,4
1640672637,4
1640672652,4
1640672667,4
1640672682,4
1640672697,4
1640672712,4
1640672727,4
1640672742,4
1640672757,4
1640672772,4
1640672787,4
1640672802,4
1640672817,4
1640672832,4
1640672847,4
1640672862,4
1640672877,4
1640672892,4
1640672907,4
1640672922,4
1640672937,4
1640672952,4
1640672967,4
1640672982,4
1640672997,4
1640673012,4
1640673027,4
1640673042,4
1640673057,4
1640673072,4
1640673087,4
1640673102,4
1640673117,4
1640673132,4
1640673147,4
1640673162,4
1640673177,4
1640673192,4
1640673207,4
1640673222,4
1640673237,4
1640673252,4
1640673267,4
1640673282,4
1640673297,4
1640673312,4
1640673327,4
1640673342,4
1640673357,4
1640673372,4
1640673387,4
1640673402,4
1640673417,4
1640673432,4
1640673447,4
1640673462,4
1640673477,4
1640673492,4
1640673507,4
1640673522,4
1640673537,4
1640673552,4
1640673567,4
1640673582,4
1640673597,4
1640673612,4
1640673627,4
1640673642,4
1640673657,4
1640673672,4
1640673687,4
1640673702,4
1640673717,4
1640673732,4
1640673747,4
1640673762,4
1640673777,4
1640673792,4
1640673807,4
1640673822,4
1640673837,4
1640673852,4
1640673867,4
1640673882,4
1640673897,4
1640673912,4
1640673927,4
1640673942,4
1640673957,4
1640673972,4
1640673987,4
1640674002,4
1640674017,4
1640674032,4
1640674047,4
1640674062,4
1640674077,4
1640674092,4
1640674107,4
1640674122,4
1640674137,4
1640674152,4
1640674167,4
1640674182,4
1640674197,4
1640674212,4
1640674227,4
1640674242,4
1640674257,4
1640674272,4
1640674287,4
1640674302,4
1640674317,4
1640674332,4
1640674347,4
1640674362,4
1640674377,4
1640674392,4
1640674407,4
1640674422,4
1640674437,4
1640674452,4
1640674467,4
1640674482,4
1640674497,4
1640674512,4
1640674527,4
1640674542,4
1640674557,4
1640674572,4
1640674587,4
1640674602,4
1640674617,4
1640674632,4
1640674647,4
1640674662,4
1640674677,4
